File name,Color,Polymer,Matching
AI58_4_3.csv,white,PE,0.96
AI58_4_4.csv,white,PP,0.77
AI58_4_5.csv,yellow,PE,0.96
AI58_4_6.csv,gray,PE,0.97
AI58_4_7.csv,white,PS,0.95
AI58_4_8.csv,white,PS,0.97
AI58_4_9.csv,transparent,PE,0.99
AI58_4_10.csv,white,PS,0.86
AI58_4_11.csv,transparent,PE,0.97
AI58_4_12.csv,transparent,PE,0.97
AI58_4_13.csv,green,PP,0.71
AI58_4_14.csv,transparent,PE,0.98
AI58_4_15.csv,white,PE,0.95
AI58_4_16.csv,white,PE,0.98
AI58_4_17.csv,transparent,PE,0.95
AI58_4_18.csv,transparent,PE,0.97
AI58_4_19.csv,transparent,PE,0.97
AI58_4_20.csv,light blue,PE,0.97
AI58_4_25.csv,yellow,PE,0.97
AI58_4_26.csv,transparent,PE,0.95
AI58_4_27.csv,transparent,PE,0.98
AI58_4_28.csv,transparent,PE,0.98
AI58_4_31.csv,transparent,PP,0.97
AI58_4_32.csv,white,PS,0.95
AI58_4_33.csv,transparent,PE,0.98
AI58_4_34.csv,transparent,PP,0.97
AI58_4_35.csv,transparent,PE,0.98
AI58_4_36.csv,transparent,PP,0.96
AI58_4_37.csv,transparent,PE,0.95
AI58_4_38.csv,transparent,PE,0.97
AI58_4_40.csv,silver,PE,0.96
AI58_4_41.csv,transparent,PE,0.98
AI58_4_42.csv,transparent,PP,0.96
AI58_5_1.csv,green,PE,0.95
AI58_5_2.csv,green,PE,0.92
AI58_5_3.csv,green,PP,0.72
AI58_5_4.csv,green,PE,0.95
AI58_5_5.csv,light blue,PE,0.94
AI58_5_6.csv,light blue,PE,0.97
AI58_5_7.csv,light blue,PE,0.93
AI58_5_8.csv,light blue,PE,0.98
AI58_5_9.csv,light blue,PE,0.97
AI58_5_10.csv,light blue,PE,0.93
AI58_5_11.csv,white,PS,0.94
AI58_5_12.csv,transparent,PE,0.97
AI58_5_13.csv,transparent,PE,0.93
AI58_5_14.csv,transparent,PP,0.96
AI58_5_15.csv,transparent,PE,0.96
AI58_5_16.csv,transparent,PE,0.97
AI58_5_17.csv,transparent,PE,0.96
AI58_5_19.csv,white,PE,0.97
AI58_5_20.csv,white,PE,0.97
AI58_5_21.csv,transparent,PP,0.95
AI58_5_22.csv,white,PE,0.97
AI58_5_23.csv,transparent,PE,0.98
AI58_5_24.csv,transparent,PE,0.9
AI58_5_25.csv,transparent,PE,0.94
AI58_5_26.csv,white,PE,0.97
AI58_5_27.csv,transparent,PE,0.97
AI58_5_28.csv,transparent,PE,0.98
